,lat,lon
445,59.8551544,17.8585943
446,59.854819,17.8607322
447,59.8544995,17.8803521
448,59.8544702,17.8915236
449,59.854402,17.8825014
450,59.8542736,17.8929939
451,59.8541726,17.6470203
452,59.8540373,17.6470449
453,59.8539452,17.4422561
454,59.853433,17.6297528
455,59.8531841,17.6281637
456,59.8528669,17.6397315
457,59.8525552,17.6255885
458,59.8525218,17.6386697
459,59.8524843,17.6405625
460,59.852305,17.6241009
461,59.8521641,17.6388278
462,59.8512546,17.4966509
463,59.8511908,17.6194486
464,59.851171,17.4544207
465,59.8511194,17.6399951
466,59.8511048,17.6402571
467,59.8510101,17.4976585
468,59.8508205,17.4570289
469,59.8507083,17.6248617
470,59.8492069,17.6414865
471,59.849085,17.5185267
472,59.8490304,17.522969
473,59.8489997,17.5302687
474,59.8489232,17.5191029
475,59.848912,17.5230252
476,59.8488386,17.7775407
477,59.848765,17.5328669
478,59.8486559,17.777572
479,59.8485625,17.6585751
480,59.8485154,17.6587492
481,59.8483731,17.6418352
482,59.8479532,17.6414819
483,59.8470512,17.6805502
484,59.8469419,17.6817781
485,59.846338,17.7126232
486,59.8462925,17.7148461
487,59.8460983,17.6297388
488,59.846041,17.6359257
489,59.8458652,17.6880381
490,59.8458446,17.7044399
491,59.8457683,17.6879593
492,59.8456357,17.7048924
493,59.8455571,17.5531586
494,59.8454634,17.6113053
495,59.8454358,17.6111765
496,59.8452766,17.6777715
497,59.845084,17.7527243
498,59.8450152,17.7504576
499,59.8447367,17.6335182
500,59.8443399,17.7395509
501,59.8442382,17.741672
502,59.8438777,17.688623
503,59.8436914,17.6879206
504,59.8432183,17.6746454
505,59.8430426,17.6048296
506,59.842043,17.6031192
507,59.8414979,17.603442
508,59.8414976,17.5353881
509,59.8413709,17.5337783
510,59.8393064,17.5771423
511,59.8392506,17.613739
512,59.8383535,17.5781506
513,59.8363893,17.5196952
514,59.8357623,17.5188562
515,59.8357044,17.6495427
516,59.8332555,17.650114
517,59.8315559,17.6499058
518,59.8289691,17.6511777
519,59.8273227,17.6950234
520,59.8266995,17.693341
521,59.8243102,17.7326043
522,59.8241199,17.7325402
523,59.8224083,17.6930599
524,59.8223429,17.6265929
525,59.8197987,17.493577
526,59.8188113,17.656328
527,59.8187002,17.7397804
528,59.8186214,17.4909986
529,59.8185731,17.7396661
530,59.8163961,17.612002
531,59.8156481,17.6593786
532,59.8147579,17.4820242
533,59.8145655,17.4807066
534,59.8133049,17.658376
535,59.813185,17.66001
536,59.8131022,17.6340516
537,59.8130431,17.6668168
538,59.8113692,17.6274915
539,59.8108768,17.4703159
540,59.8108286,17.4697097
541,59.809568,17.7045253
542,59.808904,17.4644541
543,59.8082158,17.4619166
544,59.8068854,17.4588285
545,59.8059408,17.4561031
546,59.8043691,17.6848722
547,59.8041826,17.6848903
548,59.8036329,17.7691546
549,59.8033719,17.4523512
550,59.802953,17.7700988
551,59.8028424,17.4510759
552,59.801143,17.609479
553,59.801122,17.609567
554,59.7978277,17.4458732
555,59.7965049,17.4437751
556,59.7952806,17.787299
557,59.7946407,17.7883024
